cod_pais,nom_pais,a˝o,producto,unidad_id,nom_unidad,enero,febrero,marzo,abril,mayo ,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
32,Argentina,1960,grano de sorgo,t,tonelada,2959,2939,5661,4257,2777,375,449,3743,4423,3326,3612,3433
32,Argentina,1961,grano de sorgo,t,tonelada,2667,24,4369,485,7343,7095,8018,9512,9464,7054,8446,8831
32,Argentina,1962,grano de sorgo,t,tonelada,5885,816,9378,10073,10211,10135,9895,10952,9227,7513,9715,7092
32,Argentina,1963,grano de sorgo,t,tonelada,487,2831,5026,5918,6773,7544,8372,7615,646,7311,7536,6551
32,Argentina,1964,grano de sorgo,t,tonelada,6697,52,6468,7468,7476,7075,7361,811,8847,8018,7993,9067
32,Argentina,1965,grano de sorgo,t,tonelada,10238,9418,10088,11078,12003,13869,13378,13252,13698,1345,10108,8257
32,Argentina,1966,grano de sorgo,t,tonelada,5203,4741,8528,11108,12318,11906,11919,14893,16247,14838,14923,13089
32,Argentina,1967,grano de sorgo,t,tonelada,11747,10364,7067,10225,11057,11243,12096,11225,9873,8672,13357,12526
32,Argentina,1968,grano de sorgo,t,tonelada,9764,1161,1271,11942,11786,12203,14036,14504,1426,15863,15187,12251
32,Argentina,1969,grano de sorgo,t,tonelada,14182,10053,11239,14635,13735,14264,16372,15299,17211,16878,14775,12339
32,Argentina,1970,grano de sorgo,t,tonelada,9081,106,13558,15933,15774,16896,18796,19129,19097,19498,18647,20911
32,Argentina,1971,grano de sorgo,t,tonelada,1945,16791,15892,1784,17821,19162,19075,17838,17796,20953,20033,18245
32,Argentina,1972,grano de sorgo,t,tonelada,15132,15747,17898,1849,22672,25235,26814,24465,24587,27262,26539,2361
32,Argentina,1973,grano de sorgo,t,tonelada,21816,22586,22903,24754,26733,24443,3198,37831,29646,23364,18622,17541
32,Argentina,1974,grano de sorgo,t,tonelada,19639,1441,12944,17111,22084,22232,23591,23439,17554,1479,14249,10523
32,Argentina,1975,grano de sorgo,t,tonelada,11504,23207,31385,2888,31167,39584,58362,56491,58804,57906,48884,44604
32,Argentina,1976,grano de sorgo,t,tonelada,34216,30243,28074,24343,24872,17166,14753,23387,2873,27006,27524,25758
32,Argentina,1977,grano de sorgo,t,tonelada,20477,15922,18201,23413,19415,19596,17199,14944,16277,14858,9636,11529
32,Argentina,1978,grano de sorgo,t,tonelada,1196,14715,13982,19078,16768,18423,19435,24689,18748,19096,2264,2085
32,Argentina,1979,grano de sorgo,t,tonelada,1829,14369,17535,21247,2481,27149,27193,24839,24053,22751,19053,14294
32,Argentina,1980,grano de sorgo,t,tonelada,14615,15749,15443,12913,13331,13534,17883,11326,10002,8639,7558,7248
32,Argentina,1981,grano de sorgo,t,tonelada,8103,684,7457,13461,16404,1694,18865,15105,17227,16765,16925,17264
32,Argentina,1982,grano de sorgo,t,tonelada,12578,12412,12137,15401,2073,21752,22154,19308,18133,1569,13741,6653
32,Argentina,1983,grano de sorgo,t,tonelada,4426,7496,11659,9316,13115,1381,1975,17239,16699,1642,14737,12348
32,Argentina,1984,grano de sorgo,t,tonelada,10215,978,12434,15899,2127,22147,22194,30347,24549,18061,15084,15182
32,Argentina,1985,grano de sorgo,t,tonelada,10854,13602,12673,15262,17886,17721,24927,24721,23143,23011,2266,20477
32,Argentina,1986,grano de sorgo,t,tonelada,17077,1623,13861,16751,20893,22669,27312,27898,28632,3086,25893,24548
32,Argentina,1987,grano de sorgo,t,tonelada,20849,16429,17008,14187,1652,24807,33399,22401,24106,19541,14432,13931
32,Argentina,1988,grano de sorgo,t,tonelada,8616,9748,12569,15488,16033,16901,1657,15634,11923,9,8197,7832
32,Argentina,1989,grano de sorgo,t,tonelada,614,4444,6354,7835,6133,11685,8551,7845,8806,10785,10807,7321
32,Argentina,1990,grano de sorgo,t,tonelada,8032,6091,56,5069,6357,685,955,97,813,10151,8202,6623
32,Argentina,1991,grano de sorgo,t,tonelada,5501,3499,3546,4908,7529,8236,9394,12209,8849,9004,9494,8335
32,Argentina,1992,grano de sorgo,t,tonelada,5403,5197,7699,5742,8933,9047,12091,11041,9272,8406,6467,6687
32,Argentina,1993,grano de sorgo,t,tonelada,6334,7819,8119,6315,7867,8044,946,1458,17889,1621,15523,9021
32,Argentina,1994,grano de sorgo,t,tonelada,6146,4562,9077,701,7099,5631,8076,8698,7726,7544,7654,688
32,Argentina,1995,grano de sorgo,t,tonelada,4792,5317,7984,7982,10306,13212,16231,17205,15673,11564,9078,7054
32,Argentina,1996,grano de sorgo,t,tonelada,4568,3988,2629,8336,11861,12036,15712,13153,12549,1249,10747,1073
32,Argentina,1997,grano de sorgo,t,tonelada,9833,8005,10769,14693,19013,17008,16372,17383,17418,19659,14422,14545
32,Argentina,1998,grano de sorgo,t,tonelada,14602,11818,12239,11332,1152,13555,13263,14721,13891,12873,857,9719
32,Argentina,1999,grano de sorgo,t,tonelada,10355,8785,8863,8508,9762,11589,13372,14578,12729,11961,10292,9746
32,Argentina,2000,grano de sorgo,t,tonelada,9216,7619,7953,8191,11315,13969,14005,14409,1175,10612,10422,9706
32,Argentina,2001,grano de sorgo,t,tonelada,707,7517,8785,8452,9394,10378,1126,12391,11324,11154,11153,9692
32,Argentina,2002,grano de sorgo,t,tonelada,6888,5791,7223,7729,10094,10039,9449,1007,6001,5258,7401,6575
32,Argentina,2003,grano de sorgo,t,tonelada,7568,574,7236,912,11594,11333,14969,15562,15567,14666,11696,12128
32,Argentina,2004,grano de sorgo,t,tonelada,8579,821,5806,8403,9911,13205,12967,1282,10233,10429,10791,11076
32,Argentina,2005,grano de sorgo,t,tonelada,9009,9339,10539,11595,13157,13943,14909,1424,14157,1343,1453,13337
32,Argentina,2006,grano de sorgo,t,tonelada,15725,12884,13826,13294,16566,14596,15203,17235,17818,17492,16606,15768
32,Argentina,2007,grano de sorgo,t,tonelada,13042,13785,15079,15673,17725,18536,24128,20614,15374,10746,9286,10411
32,Argentina,2008,grano de sorgo,t,tonelada,10001,8957,872,12222,12685,1225,15605,16128,14723,15667,11342,13142
32,Argentina,2009,grano de sorgo,t,tonelada,12929,12182,12931,13132,14197,1955,21857,23652,22024,20269,17465,15831
32,Argentina,2010,grano de sorgo,t,tonelada,17639,13396,17675,18353,18806,19346,19912,19694,28241,17169,14991,19694
32,Argentina,2011,grano de sorgo,t,tonelada,14646,10062,10569,11948,13835,14726,13491,1317,14019,91,7055,5599
32,Argentina,2012,grano de sorgo,t,tonelada,6681,3652,4986,3941,10406,11884,19473,18528,17186,14432,13991,11052
32,Argentina,2013,grano de sorgo,t,tonelada,14896,8941,10078,9867,10318,13319,14767,14471,12132,11006,11395,8419
32,Argentina,2014,grano de sorgo,t,tonelada,7206,6296,9479,10718,1378,16922,15458,15467,12912,11675,83,5535
32,Argentina,2015,grano de sorgo,t,tonelada,5769,4982,6042,6669,5584,512,5342,3812,304,2639,2762,2939
32,Argentina,2016,grano de sorgo,t,tonelada,3185,2958,2545,2944,4819,9466,1097,12071,9603,826,9982,4694
32,Argentina,2017,grano de sorgo,t,tonelada,4744,5418,5525,7904,11438,15641,15534,14294,13337,1464,921,8606
32,Argentina,2018,grano de sorgo,t,tonelada,8699,6765,7097,7745,8108,8294,9063,8757,7726,,,
